"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62"
31 0.00851 0.000414 0.000699 0.000463 0.000789 0.000721 0.001067 0.001067 0.000953 0.000513 0.00046 0.000881 0.000786 0.00047 0.00127 0.00037 0.00093 0.0005078 0.0010763 0.0003575 0.0007342 0.00245 0.00373 0.00219 0.002055 0.00203 0.00222 0.00219 0.001 0.00113 0.00178 0.001568 0.000499 0.00086 0.000364 0.000404 0.000717 0.000645 0.000373 0.000821 0.000649 0.00131 0.001315 0.000648 0.00998 0.002219 0.002173 0.002093 0.002025 0.001036 0.000307 0.000499 0.004151 0.002157 0.002753 0.001058 0.001208 0.001141 0.000401 0.000883 0.00189
32 0.00861 0.000425 0.0007 0.000476 0.000789 0.00077 0.001136 0.001136 0.00102 0.000534 0.000479 0.000913 0.000814 0.0005 0.00129 0.0004 0.00094 0.0005376 0.0011029 0.0003685 0.0007579 0.00251 0.00392 0.00225 0.002105 0.00208 0.002285 0.00225 0.00104 0.00118 0.00183 0.001625 0.000533 0.000916 0.000388 0.000431 0.000763 0.000687 0.000397 0.000839 0.000688 0.00133 0.001332 0.000687 0.01014 0.002305 0.00224 0.002174 0.002105 0.001102 0.00035 0.000562 0.004349 0.002226 0.002927 0.001083 0.001297 0.001173 0.000427 0.000902 0.00196
33 0.00872 0.000436 0.000701 0.000488 0.00079 0.000822 0.001213 0.001213 0.001095 0.000555 0.000499 0.000945 0.000843 0.00054 0.00135 0.00042 0.00099 0.0005755 0.0011428 0.0003831 0.0007941 0.0026 0.00412 0.00232 0.00216 0.00213 0.00236 0.00232 0.00108 0.00124 0.00191 0.00171 0.000569 0.000978 0.000414 0.00046 0.000815 0.000734 0.000422 0.000848 0.000729 0.001359 0.00136 0.000727 0.01032 0.0024 0.002343 0.002267 0.002195 0.001175 0.000394 0.000631 0.004568 0.002333 0.003118 0.001111 0.001398 0.001208 0.000454 0.000912 0.00204
34 0.00883 0.000449 0.000702 0.0005 0.000791 0.000879 0.001297 0.001297 0.001179 0.000578 0.000521 0.00098 0.000876 0.00057 0.00142 0.00045 0.00103 0.0006176 0.0011748 0.0004103 0.0008395 0.00271 0.00435 0.0024 0.00222 0.00219 0.002455 0.0024 0.00113 0.00131 0.002 0.001831 0.000608 0.001046 0.000443 0.000492 0.000872 0.000785 0.000449 0.000849 0.000773 0.001397 0.001396 0.000771 0.01052 0.002492 0.002437 0.002373 0.002298 0.001255 0.000435 0.000702 0.00481 0.002489 0.00333 0.001141 0.001513 0.001297 0.000482 0.000913 0.00214
35 0.00895 0.000463 0.000704 0.000515 0.000792 0.000942 0.001391 0.001391 0.001273 0.000605 0.000545 0.001023 0.000917 0.00062 0.00149 0.00047 0.00109 0.0006637 0.0012103 0.0004548 0.0008802 0.00285 0.00459 0.00251 0.002285 0.00225 0.002575 0.00251 0.00118 0.00141 0.00211 0.001962 0.000651 0.001122 0.000476 0.000529 0.000955 0.00086 0.000478 0.000851 0.000819 0.001445 0.001444 0.000817 0.01073 0.002616 0.002568 0.002491 0.002412 0.001344 0.000475 0.000773 0.005077 0.002662 0.003562 0.001173 0.001643 0.001398 0.000514 0.000915 0.00225
36 0.00909 0.000481 0.000719 0.000534 0.000794 0.00101 0.001494 0.001494 0.001378 0.000636 0.000574 0.001077 0.000968 0.00066 0.00157 0.00051 0.00115 0.0007043 0.0012596 0.0004992 0.0009202 0.00302 0.00486 0.00264 0.00236 0.00232 0.00272 0.00264 0.00124 0.00153 0.00224 0.00214 0.000698 0.001204 0.000502 0.000558 0.001008 0.000907 0.000512 0.000862 0.000869 0.001505 0.001501 0.000867 0.01097 0.002752 0.002686 0.002622 0.002541 0.001443 0.000514 0.000841 0.005372 0.002876 0.003819 0.001208 0.001792 0.001513 0.00055 0.000927 0.00239
37 0.00923 0.000504 0.000749 0.000558 0.000823 0.001085 0.001607 0.001607 0.001495 0.000673 0.000607 0.001146 0.001032 0.00071 0.00166 0.00054 0.00121 0.0007494 0.0013443 0.0005337 0.0009512 0.00321 0.00515 0.0028 0.002455 0.0024 0.002905 0.0028 0.00131 0.00168 0.0024 0.002336 0.00075 0.001295 0.000536 0.000595 0.001073 0.000966 0.000551 0.000891 0.000922 0.001575 0.001571 0.000919 0.01124 0.002899 0.00285 0.00277 0.002687 0.001551 0.000554 0.000904 0.005697 0.003118 0.004101 0.001297 0.001948 0.001643 0.000593 0.000958 0.00256
38 0.00941 0.000532 0.000796 0.00059 0.000872 0.001167 0.001733 0.001733 0.001624 0.000717 0.000646 0.001232 0.001114 0.00076 0.00176 0.00058 0.00128 0.0007991 0.0014038 0.0005578 0.0009876 0.00345 0.00546 0.00301 0.002575 0.00251 0.00313 0.00301 0.00141 0.00188 0.00258 0.002579 0.000807 0.001397 0.000573 0.000637 0.001154 0.001039 0.000598 0.000939 0.000976 0.001659 0.001654 0.000973 0.01152 0.003081 0.003006 0.002936 0.002851 0.00167 0.000598 0.000964 0.006056 0.003417 0.004412 0.001398 0.002125 0.001792 0.000643 0.00101 0.00277
39 0.00959 0.000567 0.000864 0.00063 0.000945 0.001256 0.001872 0.001872 0.001767 0.000769 0.000691 0.001341 0.001216 0.00082 0.00186 0.00062 0.00136 0.000863 0.001458 0.0005769 0.0010291 0.00372 0.00581 0.00325 0.00272 0.00264 0.00339 0.00325 0.00153 0.0021 0.00279 0.002859 0.000869 0.001509 0.000617 0.000686 0.001253 0.001128 0.000652 0.000999 0.00103 0.001757 0.00175 0.001028 0.01184 0.003275 0.003202 0.003121 0.003035 0.001803 0.000648 0.001021 0.006453 0.003761 0.004755 0.001513 0.002327 0.001948 0.000701 0.001075 0.00302
40 0.00979 0.000609 0.000953 0.000677 0.001043 0.001355 0.002025 0.002025 0.001925 0.000827 0.000742 0.001476 0.001341 0.00088 0.00198 0.00066 0.00144 0.0009412 0.0015362 0.0005968 0.0010883 0.00402 0.00618 0.00353 0.002905 0.0028 0.003685 0.00353 0.00168 0.00236 0.00302 0.003168 0.000938 0.001633 0.000665 0.000739 0.001375 0.001238 0.000709 0.001072 0.001085 0.001869 0.001862 0.001082 0.01218 0.003481 0.003419 0.003322 0.003235 0.001949 0.000706 0.001079 0.006891 0.004134 0.005133 0.001643 0.002556 0.002125 0.000763 0.001153 0.0033
